name,code,lat,lon,arr,dep,day,distance
THIRUVANANTHAPURAM CENTRAL,TVC,,,,,,
VARKALA,VAK,,,,,,
KOLLAM JN,QLN,,,,,,
KARUNAGAPPALLI,KPY,,,,,,
KAYANKULAM JN,KYJ,,,,,,
MAVELIKARA,MVLK,,,,,,
CHENGANNUR,CNGR,,,,,,
TIRUVALLA,TRVL,,,,,,
CHANGANASSERI,CGY,,,,,,
KOTTAYAM,KTYM,,,,,,
ERNAKULAM TOWN,ERN,,,,,,
ALUVA,AWY,,,,,,
THRISUR,TCR,,,,,,
WADAKANCHERI,WKI,,,,,,
OTTAPPALAM,OTP,,,,,,
PALAKKAD JN,PGT,,,,,,
COIMBATORE JN,CBE,,,,,,
TIRUPPUR,TUP,,,,,,
ERODE JN,ED,,,,,,
SALEM JN,SA,,,,,,
MORAPPUR,MAP,,,,,,
JOLARPETTAI JN.,JTJ,,,,,,
KATPADI JN,KPD,,,,,,
CHITTOOR,CTO,,,,,,
TIRUPATI,TPTY,,,,,,
RENIGUNTA JN,RU,,,,,,
GUDUR JN,GDR,,,,,,
NELLORE,NLR,,,,,,
SINGARAYAKONDA,SKM,,,,,,
ONGOLE,OGL,,,,,,
CHIRALA,CLX,,,,,,
BAPATLA,BPP,,,,,,
NIDUBROLU,NDO,,,,,,
TENALI JN,TEL,,,,,,
GUNTUR JN,GNT,,,,,,
SATTENAPALLE,SAP,,,,,,
PIDUGURALLA,PGRL,,,,,,
NADIKODE,NDKD,,,,,,
MIRYALAGUDA,MRGA,,,,,,
NALGONDA,NLDA,,,,,,
CHARLAPALLI,CHZ,,,,,,
SECUNDERABAD JN,SC,,,,,,
