name,code,lat,lon,arr,dep,day,distance
New Delhi,NDLS,28.6139,77.209,,,,
Shivaji Bridge,CSB,,,,,,
Tilak Bridge,TKJ,,,,,,
Pragati Maidan,PGMD,,,,,,
Hazrat Nizamuddin,NZM,,,,,,
Okhla Bypass B Cabin,OKAC,,,,,,
Okhla,OKA,,,,,,
Tuglakabad East Cabin,TKEC,,,,,,
Tuglakabad,TKD,,,,,,
Tughlakabad Cabin,TKDC,,,,,,
Faridabad,FDB,,,,,,
Faridabad New Town,FDN,,,,,,
Ballabh Garh,BVH,,,,,,
Piyala Block Hut,PYLA,,,,,,
Asaoti,AST,,,,,,
Palwal,PWL,,,,,,
Rundhi,RDE,,,,,,
Sholaka,SHLK,,,,,,
Banchari,BNCR,,,,,,
Hodal,HDL,,,,,,
Kosi Kalan,KSV,,,,,,
Chata,CHJ,,,,,,
Ajhai,AJH,,,,,,
Vrindaban Road,VRBD,,,,,,
Bhuteshwar,BTSR,,,,,,
Mathura Jn,MTJ,,,,,,
Murhesi Rampur,MSRP,,,,,,
Churaman Nagri,CRG,,,,,,
Jajan Patti,JJA,,,,,,
Ranikund Rarah,RKR,,,,,,
Dhaurmui Jaghina,DUM,,,,,,
Bharatpur Jn,BTE,,,,,,
Bharatpur Chord Cabin,XX-BTEC,,,,,,
Sewar,SWAR,,,,,,
Jaicholi,JCU,,,,,,
Pingora,PNGR,,,,,,
Kela Devi,KEV,,,,,,
Salabad,SABD,,,,,,
Bayana Jn,BXN,,,,,,
Dumariya,DY,,,,,,
Fateh Singhpura,FSP,,,,,,
Dhindora Hukmikhera,DNHK,,,,,,
Hindaun City,HAN,,,,,,
Sikroda Mina,SKDM,,,,,,
Shri Mahaveerji,SMVJ,,,,,,
Khandip,KNDP,,,,,,
Piloda,PDZ,,,,,,
Chhoti Odai,COO,,,,,,
Gangapur City Jn,GGC,,,,,,
Lalpur Umri,LRU,,,,,,
Narayanpur Tatwara,NNW,,,,,,
Nimoda,NMD,,,,,,
Malarna,MLZ,,,,,,
Mokholi,MXL,,,,,,
Ranthambhore,RNT,,,,,,
Sawai Madhopur D Cabin,SMDC,,,,,,
Sawai Madhopur Jn,SWM,,,,,,
Kushtala,KTA,,,,,,
Rawanjna Dungar,RWJ,,,,,,
Amli,AMLI,,,,,,
Indargarh Sumerganj Mandi,IDG,,,,,,
Lakheri,LKE,,,,,,
Laban,LBN,,,,,,
Ghat ka Varana,GKB,,,,,,
Kapren,KPZ,,,,,,
Arnetha,ARE,,,,,,
Keshorai Patan,KPTN,,,,,,
Gurla North,GQLN,,,,,,
Gurla N Cabin,GNCN,,,,,,
Gurla Jn,GQL,,,,,,
Gurla C Cabin,GCCN,,,,,,
Kota C Cabin,KCCN,,,,,,
Kota Jn,KOTA,25.2138,75.8648,,,,
Kota Yard,KTTY,,,,,,
Kota South Cabin,KTSC,,,,,,
Dakaniya Talav,DKNT,,,,,,
Dadhdevi,DDV,,,,,,
Alniya,ALNI,,,,,,
Dhani Kasar,DKQ,,,,,,
Concor Depot Siding Ravtha Road,CSRR,,,,,,
Ravtha Road,RDT,,,,,,
Dara,DARA,,,,,,
Kanwalpura,KIW,,,,,,
Morak,MKX,,,,,,
Ramganj Mandi Jn,RMA,,,,,,
Ramganj Mandi Outer Cabin,XX-RMAO,,,,,,
Jhalawar Road,JHW,,,,,,
Dhuankheri,DKRA,,,,,,
Bhawani Mandi,BWM,,,,,,
Kurlasi,KRLS,,,,,,
Garoth,GOH,,,,,,
Shamgarh,SGZ,,,,,,
Hanspura,HNU,,,,,,
Suwasra,SVA,,,,,,
Nathukheri,NKH,,,,,,
Chaumahla,CMU,,,,,,
Talavli,TLZ,,,,,,
Thuria,THUR,,,,,,
Vikramgarh Alot,VMA,,,,,,
Luni Richha,LNR,,,,,,
Mahidpur Road,MEP,,,,,,
Rohal Khurd,RLK,,,,,,
Nagda Jn,NAD,23.4576,75.417,,,,
Berawanya,BRNA,,,,,,
Khachrod,KUH,,,,,,
Runkhera,RNH,,,,,,
Bangrod,BOD,,,,,,
Ratlam East Cabin,RTME,,,,,,
Ratlam Jn,RTM,22.7216,75.8682,,,,
Ratlam New,RTMN,,,,,,
Nauganwan,NGW,,,,,,
Pritam Nagar,PRNG,,,,,,
Runija,RNJ,,,,,,
Sunderabad,SNBD,,,,,,
Barnagar,BNG,,,,,,
Pirjhalar,PJH,,,,,,
Gautampura Road,GPX,,,,,,
Osra,OSRA,,,,,,
Fatehabad Chandrawatiganj Bypass Cabin,XX-FTD,,,,,,
Fatehabad Chandrawatiganj Jn,FTD,,,,,,
Ajnod,AJN,,,,,,
Balauda Takun,BLDK,,,,,,
Palia,PLA,,,,,,
Laxmi Bai Nagar,LMNR,,,,,,
Indore Jn,INDB,,,,,,
