name,code,lat,lon,arr,dep,day,distance
NEW DELHI,NDLS,28.6139,77.209,,,,
HAZRAT NIZAMUDDIN JN,NZM,,,,,,
MATHURA JN.,MTJ,,,,,,
BHARATPUR JN,BTE,,,,,,
BAYANA JN,BXN,,,,,,
SHRI MAHAVEERJI,SMVJ,,,,,,
GANGAPUR CITY,GGC,,,,,,
SAWAI MADHOPUR JN,SWM,,,,,,
KOTA JN,KOTA,25.2138,75.8648,,,,
RAMGANJ MANDI,RMA,,,,,,
BHAWANI MANDI,BWM,,,,,,
GAROT,GOH,,,,,,
SHAMGARH,SGZ,,,,,,
SUWASRA,SVA,,,,,,
CHAU MAHLA,CMU,,,,,,
VIKRAMGARH ALOT,VMA,,,,,,
MAHIDPUR ROAD,MEP,,,,,,
NAGDA JN,NAD,23.4576,75.417,,,,
UJJAIN JN,UJN,,,,,,
DEWAS,DWX,,,,,,
INDORE JN,INDB,,,,,,
